Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 13,710 "," 10,518 "," 14,797 "," 13,509 "," 10,831 "," 14,372 "," 13,406 "," 10,027 "," 13,000 "," 13,600 "," 15,828 "
May," 9,812 "," 12,761 "," 11,513 "," 11,915 "," 10,210 "," 11,187 "," 9,136 "," 9,311 "," 7,000 "," 11,200 "," 12,939 "
June," 9,392 "," 10,837 "," 8,851 "," 9,579 "," 8,734 "," 10,629 "," 9,290 "," 8,607 "," 12,000 "," 10,900 "," 10,186 "
July," 10,946 "," 12,737 "," 12,743 "," 15,555 "," 12,877 "," 12,959 "," 10,595 "," 10,195 "," 12,000 "," 10,400 "," 9,902 "
August," 15,462 "," 18,217 "," 19,820 "," 19,309 "," 20,170 "," 17,887 "," 17,206 "," 16,778 "," 28,000 "," 20,605 "," 20,666 "
September," 6,748 "," 7,096 "," 8,871 "," 8,185 "," 6,299 "," 7,600 "," 7,471 "," 7,449 "," 7,000 "," 6,928 "," 6,529 "
October," 11,798 "," 12,226 "," 12,722 "," 11,398 "," 10,643 "," 10,865 "," 10,985 "," 9,129 "," 9,000 "," 9,656 "," 9,265 "
November," 6,235 "," 7,448 "," 8,064 "," 8,550 "," 7,749 "," 6,447 "," 6,710 "," 6,698 "," 7,000 "," 7,170 "," 6,343 "
December," 5,869 "," 4,758 "," 6,872 "," 6,872 "," 5,823 "," 4,865 "," 4,208 "," 4,574 "," 6,000 "," 6,873 "," 5,084 "
January," 4,432 "," 4,579 "," 5,539 "," 5,023 "," 4,841 "," 3,246 "," 3,675 "," 3,807 "," 3,000 "," 5,526 "," 3,884 "
February," 8,788 "," 10,450 "," 9,738 "," 10,739 "," 8,516 "," 9,272 "," 8,036 "," 7,218 "," 8,000 "," 13,631 "," 9,475 "
March," 13,361 "," 8,000 "," 9,430 "," 15,065 "," 9,493 "," 9,088 "," 6,864 "," 7,610 "," 7,800 "," 8,828 "," 9,622 "
