Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 29,082 "," 22,371 "," 27,718 "," 43,133 "," 44,533 "," 63,848 "," 65,009 "," 46,675 "," 55,508 "," 61,383 "," 70,750 "
May," 26,920 "," 23,981 "," 28,215 "," 46,119 "," 42,597 "," 55,090 "," 53,919 "," 43,988 "," 45,802 "," 59,588 "," 65,722 "
June," 26,292 "," 23,739 "," 23,637 "," 38,265 "," 39,111 "," 44,110 "," 50,764 "," 41,071 "," 53,644 "," 50,050 "," 51,596 "
July," 30,754 "," 31,196 "," 45,024 "," 49,048 "," 46,293 "," 62,888 "," 61,425 "," 48,131 "," 59,656 "," 57,553 "," 83,650 "
August," 37,070 "," 36,276 "," 67,145 "," 71,175 "," 67,616 "," 101,590 "," 87,153 "," 65,560 "," 75,666 "," 87,090 "," 99,772 "
September," 23,037 "," 16,611 "," 25,288 "," 28,902 "," 28,826 "," 35,427 "," 34,867 "," 32,718 "," 36,513 "," 49,644 "," 45,092 "
October," 27,200 "," 27,244 "," 41,995 "," 38,354 "," 42,139 "," 52,849 "," 48,478 "," 43,209 "," 46,476 "," 61,954 "," 64,679 "
November," 17,325 "," 19,170 "," 27,717 "," 27,290 "," 29,706 "," 39,253 "," 32,741 "," 32,392 "," 42,190 "," 52,515 "," 54,358 "
December," 16,560 "," 15,861 "," 27,204 "," 23,929 "," 25,665 "," 27,951 "," 25,563 "," 27,300 "," 42,059 "," 48,125 "," 43,776 "
January," 18,877 "," 19,194 "," 28,859 "," 28,486 "," 33,476 "," 39,130 "," 38,890 "," 38,258 "," 38,608 "," 54,899 "," 49,824 "
February," 27,225 "," 24,929 "," 48,788 "," 42,996 "," 32,077 "," 48,828 "," 47,501 "," 44,494 "," 53,932 "," 56,972 "," 58,932 "
March," 23,086 "," 22,296 "," 38,276 "," 40,197 "," 51,074 "," 50,337 "," 38,664 "," 45,483 "," 66,021 "," 58,278 "," 58,596 "
