Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 8,450 "," 9,059 "," 8,685 "," 7,288 ", - , - , - , - , - , - , - 
May," 9,461 "," 8,622 "," 7,674 "," 8,328 ", - , - , - , - , - , - , - 
June," 16,400 "," 7,013 "," 6,004 "," 6,761 ", - , - , - , - , - , - , - 
July," 7,868 "," 4,934 "," 6,616 "," 6,907 ", - , - , - , - , - , - , - 
August," 7,840 "," 14,209 "," 15,040 "," 7,237 ", - , - , - , - , - , - , - 
September," 6,396 "," 5,887 "," 5,247 "," 4,731 ", - , - , - , - , - , - , - 
October," 10,246 "," 9,282 "," 8,574 "," 8,616 ", - , - , - , - , - , - , - 
November," 6,871 "," 7,051 "," 5,925 "," 10,721 ", - , - , - , - , - , - , - 
December," 4,729 "," 5,421 "," 5,519 "," 7,674 ", - , - , - , - , - , - , - 
January," 9,343 "," 5,360 "," 6,101 "," 7,204 ", - , - , - , - , - , - , - 
February," 9,929 "," 12,452 "," 9,194 "," 11,067 ", - , - , - , - , - , - , - 
March," 9,323 "," 11,785 "," 9,480 "," 14,300 ", - , - , - , - , - , - , - 
