Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 34,158 "," 40,424 "," 38,534 "," 30,330 ", - , - , - , - , - , - , - 
May," 31,006 "," 36,006 "," 32,510 "," 34,275 ", - , - , - , - , - , - , - 
June," 30,417 "," 32,595 "," 26,865 "," 26,293 ", - , - , - , - , - , - , - 
July," 38,545 "," 28,154 "," 27,909 "," 27,792 ", - , - , - , - , - , - , - 
August," 38,014 "," 22,471 "," 37,207 "," 28,846 ", - , - , - , - , - , - , - 
September," 30,916 "," 24,359 "," 25,611 "," 20,664 ", - , - , - , - , - , - , - 
October," 47,732 "," 32,870 "," 39,234 "," 28,432 ", - , - , - , - , - , - , - 
November," 43,130 "," 30,522 "," 34,542 "," 23,965 ", - , - , - , - , - , - , - 
December," 31,183 "," 23,757 "," 22,227 "," 16,383 ", - , - , - , - , - , - , - 
January," 33,103 "," 31,420 "," 27,260 "," 18,598 ", - , - , - , - , - , - , - 
February," 47,901 "," 39,698 "," 35,651 "," 29,711 ", - , - , - , - , - , - , - 
March," 43,585 "," 38,515 "," 31,318 "," 31,703 ", - , - , - , - , - , - , - 
