Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 9,423 "," 11,500 "," 13,083 "," 10,490 "," 12,748 "," 13,770 "," 12,720 "," 9,152 "," 20,873 "," 18,166 "," 16,057 "
May," 6,232 "," 6,026 "," 9,845 "," 16,145 "," 9,755 "," 9,079 "," 7,204 "," 8,227 "," 8,870 "," 12,425 "," 16,636 "
June," 5,827 "," 7,484 "," 5,037 "," 5,034 "," 5,455 "," 6,141 "," 5,966 "," 7,707 "," 14,124 "," 7,627 "," 7,589 "
July," 7,152 "," 9,370 "," 6,603 "," 10,877 "," 7,316 "," 11,965 "," 8,461 "," 8,353 "," 11,334 "," 9,178 "," 9,030 "
August," 17,176 "," 13,428 "," 20,543 "," 16,914 "," 16,907 "," 15,987 "," 19,068 "," 17,285 "," 18,125 "," 16,022 "," 21,631 "
September," 4,984 "," 4,896 "," 7,149 "," 5,696 "," 6,151 "," 5,253 "," 6,118 "," 6,878 "," 7,044 "," 8,034 "," 7,773 "
October," 10,256 "," 10,505 "," 12,834 "," 10,312 "," 9,750 "," 10,871 "," 11,713 "," 10,486 "," 9,516 "," 13,513 "," 12,732 "
November," 5,636 "," 5,971 "," 5,563 "," 5,891 "," 6,376 "," 7,132 "," 6,427 "," 7,226 "," 9,177 "," 9,356 "," 8,507 "
December," 4,998 "," 6,358 "," 6,591 "," 6,041 "," 5,420 "," 5,751 "," 5,688 "," 10,161 "," 9,207 "," 8,543 "," 7,895 "
January," 8,716 "," 10,447 "," 8,936 "," 11,115 "," 9,118 "," 7,551 "," 12,100 "," 12,812 "," 11,989 "," 16,139 "," 14,117 "
February," 13,558 "," 13,794 "," 13,143 "," 15,033 "," 14,338 "," 17,179 "," 23,696 "," 16,215 "," 21,930 "," 24,233 "," 20,471 "
March," 9,780 "," 8,293 "," 8,041 "," 13,419 "," 8,579 "," 7,765 "," 7,703 "," 8,932 "," 13,670 "," 10,317 "," 12,064 "
