Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April, - , - , - , - , - , - , - , - ," 150,098 "," 139,830 "," 152,451 "
May, - , - , - , - , - , - , - , - ," 136,196 "," 171,692 "," 146,370 "
June, - , - , - , - , - , - , - , - ," 174,847 "," 198,680 "," 203,276 "
July, - , - , - , - , - , - , - , - ," 137,708 "," 172,715 "," 176,855 "
August, - , - , - , - , - , - , - , - ," 132,121 "," 181,422 "," 224,310 "
September, - , - , - , - , - , - , - , - ," 152,108 "," 159,954 "," 135,368 "
October, - , - , - , - , - , - , - , - ," 133,052 "," 129,089 "," 144,139 "
November, - , - , - , - , - , - , - , - ," 95,002 "," 91,237 "," 125,628 "
December, - , - , - , - , - , - , - , - ," 89,559 "," 94,253 "," 71,694 "
January, - , - , - , - , - , - , - , - ," 71,167 "," 66,382 "," 79,848 "
February, - , - , - , - , - , - , - , - ," 91,102 "," 83,293 "," 90,104 "
March, - , - , - , - , - , - , - , - ," 149,611 "," 145,896 "," 145,361 "
