Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April, - ," 12,586 "," 23,727 "," 15,417 "," 14,608 "," 17,989 "," 27,641 "," 17,152 "," 14,000 "," 17,000 "," 21,000 "
May, - ," 16,426 "," 12,223 "," 15,064 "," 16,169 "," 17,064 "," 31,908 "," 32,179 "," 12,000 "," 19,000 "," 16,000 "
June, - ," 14,353 "," 8,713 "," 9,901 "," 8,841 "," 11,132 "," 17,335 "," 31,733 "," 21,000 "," 14,000 "," 12,000 "
July, - ," 13,966 "," 13,181 "," 14,485 "," 13,854 "," 16,115 "," 23,355 "," 21,382 "," 18,000 "," 19,000 "," 15,000 "
August, - ," 21,546 "," 24,681 "," 23,371 "," 24,469 "," 27,623 "," 28,033 "," 27,518 "," 29,000 "," 27,000 "," 22,000 "
September," 8,455 "," 11,477 "," 15,764 "," 16,337 "," 14,311 "," 18,132 "," 15,042 "," 20,982 "," 18,000 "," 17,000 "," 14,000 "
October," 45,263 "," 14,852 "," 9,074 "," 14,460 "," 11,296 "," 12,350 "," 11,298 "," 21,820 "," 29,000 "," 17,000 "," 16,000 "
November," 15,670 "," 4,763 "," 5,353 "," 3,433 "," 5,154 "," 6,216 "," 6,384 "," 5,944 "," 13,000 "," 8,000 "," 9,000 "
December," 6,336 "," 7,923 "," 7,767 "," 9,730 "," 6,763 "," 7,226 "," 6,631 "," 7,902 "," 15,000 "," 11,000 "," 11,000 "
January," 7,857 "," 6,474 "," 4,483 "," 3,889 "," 4,353 "," 2,754 "," 6,030 "," 5,667 "," 5,000 "," 7,000 "," 7,000 "
February," 10,607 "," 9,408 "," 9,328 "," 9,685 "," 9,383 "," 13,904 "," 12,608 "," 9,053 "," 13,000 "," 128,000 "," 14,000 "
March," 18,422 "," 7,351 "," 4,770 "," 13,505 "," 9,452 "," 9,821 "," 12,432 "," 8,777 "," 15,000 "," 11,000 "," 11,000 "
