Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April, - , - , - , - , - , - , - , - ," 81,000 "," 64,000 "," 65,000 "
May, - , - , - , - , - , - , - , - ," 44,000 "," 52,000 "," 60,000 "
June, - , - , - , - , - , - , - , - ," 57,000 "," 51,000 "," 46,000 "
July, - , - , - , - , - , - , - , - ," 68,000 "," 63,000 "," 68,000 "
August, - , - , - , - , - , - , - , - ," 93,000 "," 97,000 "," 101,000 "
September, - , - , - , - , - , - , - , - ," 40,000 "," 47,000 "," 46,000 "
October, - , - , - , - , - , - , - , - ," 48,000 "," 65,000 "," 62,000 "
November, - , - , - , - , - , - , - , - ," 36,000 "," 41,000 "," 41,000 "
December, - , - , - , - , - , - , - , - ," 29,000 "," 32,000 "," 33,000 "
January, - , - , - , - , - , - , - , - ," 31,000 "," 36,000 "," 40,000 "
February, - , - , - , - , - , - , - , - ," 60,000 "," 69,000 "," 65,000 "
March, - , - , - , - , - , - , - , - ," 56,000 "," 51,000 "," 52,000 "
