Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 55,337 "," 46,336 "," 56,619 "," 44,108 "," 57,610 "," 57,205 "," 51,618 "," 34,910 "," 49,000 "," 44,000 "," 41,000 "
May," 43,371 "," 43,021 "," 51,718 "," 54,781 "," 54,629 "," 59,486 "," 34,481 "," 38,223 "," 32,000 "," 41,000 "," 35,000 "
June," 42,189 "," 48,413 "," 41,333 "," 52,288 "," 45,785 "," 40,128 "," 32,874 "," 34,153 "," 42,000 "," 42,000 "," 29,000 "
July," 62,513 "," 52,969 "," 53,077 "," 69,922 "," 62,899 "," 59,631 "," 54,098 "," 49,888 "," 51,000 "," 37,000 "," 41,000 "
August," 68,717 "," 60,720 "," 77,285 "," 72,779 "," 91,451 "," 52,963 "," 49,883 "," 52,926 "," 62,000 "," 47,000 "," 43,000 "
September," 47,199 "," 40,702 "," 45,239 "," 47,845 "," 44,711 "," 36,402 "," 30,857 "," 34,786 "," 32,000 "," 27,000 "," 22,000 "
October," 65,258 "," 61,797 "," 64,638 "," 67,901 "," 69,337 "," 47,306 "," 44,382 "," 44,188 "," 38,000 "," 43,000 "," 45,000 "
November," 57,009 "," 49,996 "," 53,777 "," 65,563 "," 41,252 "," 47,628 "," 38,403 "," 33,746 "," 36,000 "," 47,000 "," 40,000 "
December," 51,329 "," 42,716 "," 50,997 "," 58,213 "," 47,305 "," 45,314 "," 32,595 "," 31,181 "," 32,000 "," 32,000 "," 24,000 "
January," 44,656 "," 42,133 "," 49,245 "," 57,224 "," 44,520 "," 36,612 "," 37,990 "," 33,640 "," 28,000 "," 36,000 "," 24,000 "
February," 54,421 "," 64,793 "," 68,002 "," 64,235 "," 63,663 "," 56,222 "," 46,793 "," 59,621 "," 57,000 "," 47,000 "," 45,000 "
March," 66,992 "," 61,835 "," 65,099 "," 82,998 "," 49,789 "," 67,940 "," 43,548 "," 36,756 "," 34,000 "," 37,000 "," 33,000 "
