Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 1,247 "," 2,183 "," 1,984 ", 433 , 100 , - , 54 , - , - , - , - 
May," 3,085 "," 9,378 "," 5,590 "," 3,144 ", 120 , - , 40 , - , - , - , - 
June," 6,732 "," 3,722 "," 2,789 "," 1,188 ", 71 , - , 232 , - , - , - , - 
July," 1,391 "," 9,593 "," 10,648 "," 1,421 ", 387 , - , 43 , - , - , - , - 
August," 3,853 "," 7,662 "," 13,100 "," 37,500 "," 152,383 ", - , 53 , - , - , - , - 
September," 8,432 "," 1,214 "," 7,574 "," 4,146 ", 100 ," 17,000 ", 278 , - , - , - , - 
October," 1,886 ", 687 , 343 , 100 , 59 ," 2,000 ", 117 , - , - , - , - 
November," 1,399 "," 1,496 ", 118 , 60 , 100 , - , 59 , - , - , - , - 
December, 512 ," 10,247 "," 2,947 "," 1,300 ", 100 , - , 8 , - , - , - , - 
January, 225 , 212 ," 3,514 ", 210 , 100 , - , - , - , - , - , - 
February, 291 , 135 , 446 , - , 100 , - , - , - , - , - , - 
March," 2,305 "," 1,009 ", 276 , 173 , 50 , - , - , - , - , - , - 
