Month ,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 304,991 "," 301,947 "," 390,294 "," 466,406 "," 365,447 "," 397,980 "," 391,680 "," 446,063 "," 580,036 "," 509,236 "," 517,940 "
May," 319,245 "," 279,248 "," 374,464 "," 377,818 "," 405,696 "," 409,107 "," 443,490 "," 409,789 "," 447,241 "," 479,821 "," 613,354 "
June," 393,766 "," 359,059 "," 335,428 "," 387,742 "," 385,546 "," 357,078 "," 366,603 "," 406,147 "," 428,800 "," 338,848 "," 501,885 "
July," 468,903 "," 347,468 "," 437,806 "," 469,704 "," 386,000 "," 458,725 "," 478,836 "," 490,997 "," 530,400 "," 421,666 "," 595,019 "
August," 512,807 "," 328,504 "," 480,753 "," 485,799 "," 472,907 "," 470,642 "," 506,151 "," 466,231 "," 591,215 "," 424,556 "," 686,413 "
September," 320,110 "," 351,934 "," 459,838 "," 347,411 "," 367,947 "," 371,176 "," 370,181 "," 343,733 "," 490,750 "," 335,647 "," 445,973 "
October," 361,295 "," 442,868 "," 622,330 "," 539,989 "," 487,430 "," 500,192 "," 623,328 "," 471,799 "," 492,280 "," 408,457 "," 473,991 "
November," 308,698 "," 321,294 "," 455,170 "," 464,193 "," 372,444 "," 357,714 "," 435,048 "," 346,598 "," 358,494 "," 364,490 "," 377,363 "
December," 274,409 "," 286,370 "," 419,959 "," 394,312 "," 315,836 "," 323,936 "," 317,083 "," 318,420 "," 333,040 "," 316,602 "," 367,044 "
January," 274,829 "," 314,454 "," 369,659 "," 393,408 "," 344,887 "," 347,412 "," 383,069 "," 307,185 "," 323,835 "," 358,933 "," 341,653 "
February," 284,615 "," 303,749 "," 424,594 "," 436,752 "," 361,950 "," 380,514 "," 340,093 "," 365,921 "," 419,576 "," 415,405 "," 380,208 "
March," 323,881 "," 321,131 "," 464,213 "," 473,168 "," 381,791 "," 363,712 "," 379,448 "," 393,326 "," 542,205 "," 432,107 "," 401,531 "
