Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 10,500 "," 10,474 "," 6,571 "," 7,233 "," 6,618 "," 5,215 "," 5,028 "," 6,555 "," 3,874 "," 3,241 "," 4,206 "
May," 11,434 "," 11,275 "," 6,910 "," 6,978 "," 7,552 "," 5,291 "," 5,547 "," 5,998 "," 3,791 "," 3,720 "," 3,557 "
June," 15,254 "," 14,305 "," 8,218 "," 7,943 "," 6,623 "," 5,227 "," 6,025 "," 7,866 "," 3,725 "," 4,646 "," 4,737 "
July," 8,831 "," 12,043 "," 11,264 "," 9,905 "," 7,855 "," 5,114 "," 5,992 "," 8,636 "," 3,453 "," 5,437 "," 4,999 "
August," 8,519 "," 10,980 "," 10,492 "," 9,888 "," 10,030 "," 8,145 "," 7,896 "," 10,152 "," 4,627 "," 5,943 "," 6,013 "
September," 10,458 "," 8,971 "," 8,900 "," 9,415 "," 7,085 "," 3,387 "," 5,831 "," 5,948 "," 2,689 "," 4,165 "," 3,922 "
October," 6,552 "," 9,257 "," 8,326 "," 8,955 "," 7,059 "," 4,717 "," 4,655 "," 1,815 "," 1,412 "," 1,332 "," 2,264 "
November," 6,646 "," 6,733 "," 5,832 "," 4,927 "," 3,639 "," 2,630 ", 329 , 967 , 423 , 963 , 551 
December," 4,000 "," 3,781 "," 2,543 "," 2,182 "," 1,492 "," 1,155 ", 110 , 355 , 207 , 78 , 213 
January," 2,034 "," 1,864 "," 2,058 "," 2,398 "," 1,921 "," 1,454 ", 131 , 219 , 412 , - , 225 
February," 4,635 "," 2,807 "," 3,341 "," 3,792 "," 2,777 "," 2,519 ", 51 , 353 , 8 , 168 , 246 
March," 9,385 "," 3,803 "," 4,830 "," 4,972 "," 4,287 "," 3,381 ", 379 , 474 ," 3,759 ", 929 ," 1,104 "
