Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April, - , - , - , - , - , - ," 57,634 "," 36,737 "," 62,383 "," 37,473 "," 61,304 "
May, - , - , - , - , - ," 63,568 "," 38,529 "," 35,707 "," 29,984 "," 40,543 "," 54,699 "
June, - , - , - , - , - ," 112,719 "," 35,978 "," 31,185 "," 39,717 "," 30,108 "," 31,594 "
July, - , - , - , - , - ," 120,960 "," 45,340 "," 47,286 "," 40,236 "," 42,286 "," 42,069 "
August, - , - , - , - , - ," 144,506 "," 76,757 "," 78,665 "," 57,831 "," 58,592 "," 66,408 "
September, - , - , - , - , - ," 59,101 "," 35,982 "," 31,280 "," 24,396 "," 29,298 "," 28,377 "
October, - , - , - , - , - ," 70,386 "," 47,016 "," 48,660 "," 33,056 "," 40,746 "," 43,993 "
November, - , - , - , - , - ," 41,605 "," 26,586 "," 27,428 "," 31,800 "," 27,505 "," 27,271 "
December, - , - , - , - , - ," 25,925 "," 22,270 "," 20,612 "," 21,348 "," 18,984 "," 22,249 "
January, - , - , - , - , - ," 29,891 "," 29,083 "," 24,259 "," 23,241 "," 26,547 "," 27,550 "
February, - , - , - , - , - ," 59,619 "," 50,575 "," 46,729 "," 43,222 "," 49,986 "," 54,016 "
March, - , - , - , - , - ," 42,972 "," 38,223 "," 36,037 "," 31,517 "," 36,652 "," 32,404 "
