Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 13,687 "," 8,098 "," 2,121 ", - , - , - , - , - , - , - , - 
May," 3,872 "," 5,523 ", - , - , - , - , - , - , - , - , - 
June," 4,228 "," 5,773 ", - , - , - , - , - , - , - , - , - 
July," 6,000 "," 4,319 ", - , - , - , - , - , - , - , - , - 
August," 14,027 "," 9,941 ", - , - , - , - , - , - , - , - , - 
September," 7,118 "," 5,257 ", - , - , - , - , - , - , - , - , - 
October," 7,971 "," 8,407 ", - , - , - , - , - , - , - , - , - 
November," 4,078 "," 5,539 ", - , - , - , - , - , - , - , - , - 
December," 3,818 "," 3,064 ", - , - , - , - , - , - , - , - , - 
January," 2,741 "," 5,168 ", - , - , - , - , - , - , - , - , - 
February," 9,294 "," 8,712 ", - , - , - , - , - , - , - , - , - 
March," 10,418 "," 6,893 ", - , - , - , - , - , - , - , - , - 
