Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April, - , - , - , - , - ," 2,467 "," 1,206 "," 1,360 "," 1,208 "," 2,083 "," 2,766 "
May, - , - , - , - , - ," 4,107 "," 1,714 "," 1,326 ", 683 ," 3,239 "," 3,418 "
June, - , - , - , - , - ," 1,888 "," 1,896 "," 2,737 "," 2,226 "," 2,569 "," 3,525 "
July, - , - , - , - , - ," 1,814 "," 1,867 "," 2,581 "," 1,778 "," 2,719 "," 2,667 "
August, - , - , - , - , - ," 1,597 "," 2,043 "," 2,144 "," 1,900 "," 2,183 "," 2,135 "
September, - , - , - , - , - ," 1,697 "," 1,530 "," 1,443 "," 2,353 "," 2,157 "," 2,867 "
October, - , - , - , - ," 4,531 "," 1,772 "," 2,427 "," 2,697 "," 2,400 "," 2,784 "," 3,939 "
November, - , - , - , - ," 2,283 ", 854 ," 1,634 "," 1,337 "," 1,524 "," 2,852 "," 3,407 "
December, - , - , - , - ," 3,701 ", 816 ," 4,648 "," 1,316 "," 1,002 "," 1,646 "," 1,305 "
January, - , - , - , - , 420 ," 1,062 "," 1,466 "," 1,330 "," 1,388 "," 2,557 "," 1,627 "
February, - , - , - , - ," 3,110 "," 1,412 "," 1,787 "," 1,309 "," 1,983 "," 4,061 "," 3,010 "
March, - , - , - , - ," 2,983 "," 2,646 "," 2,303 "," 2,097 "," 2,560 "," 3,714 "," 3,163 "
