Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 3,067 "," 3,540 ", - , - ," 3,787 "," 2,979 "," 2,371 "," 2,024 "," 3,301 "," 2,423 "," 2,315 "
May," 1,891 "," 2,504 ", - , - ," 3,079 "," 2,349 "," 2,428 "," 2,204 "," 2,481 "," 2,256 "," 2,115 "
June," 3,709 "," 2,471 ", - , - ," 2,469 "," 2,321 "," 2,355 "," 2,116 "," 2,391 "," 1,619 "," 1,438 "
July," 3,299 "," 2,483 ", - , 270 ," 2,752 "," 3,180 "," 3,381 "," 2,404 "," 2,465 "," 2,412 "," 1,857 "
August," 5,040 "," 4,915 ", - ," 16,345 "," 4,148 "," 3,179 "," 3,564 "," 3,507 "," 3,362 "," 3,012 "," 2,746 "
September," 2,872 ", - , - ," 5,507 "," 2,207 "," 2,099 "," 2,375 "," 2,087 "," 1,931 "," 1,734 "," 1,661 "
October," 3,833 ", - , - ," 4,919 "," 1,936 "," 2,854 "," 2,407 "," 3,023 "," 2,268 "," 1,971 "," 2,089 "
November," 2,279 ", - , - ," 1,821 "," 1,942 "," 2,608 "," 2,050 "," 2,269 "," 2,469 "," 1,857 "," 1,672 "
December," 2,530 ", - , - ," 1,778 "," 2,004 "," 1,266 "," 1,584 "," 1,740 "," 1,100 "," 1,127 "," 1,300 "
January," 1,763 ", - , - ," 1,731 "," 2,776 ", 941 ," 1,646 "," 1,953 "," 1,417 "," 1,639 "," 1,399 "
February," 2,848 ", - , - ," 2,735 "," 3,070 "," 2,036 "," 2,472 "," 2,980 "," 2,268 "," 2,156 "," 2,141 "
March," 3,445 ", - , - ," 1,730 "," 2,937 "," 2,654 "," 2,384 "," 2,480 "," 2,077 "," 1,918 "," 1,714 "
