Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 12,054 "," 3,362 "," 11,255 "," 11,230 "," 5,908 "," 11,009 "," 8,982 ", - , - , - , - 
May," 9,652 "," 7,608 "," 8,367 "," 9,154 "," 10,115 "," 12,570 "," 9,870 ", - , - , - , - 
June," 9,076 "," 7,426 "," 8,363 "," 7,220 "," 8,215 "," 8,036 "," 9,422 ", - , - , - , - 
July," 14,126 "," 10,904 "," 12,501 "," 11,406 "," 11,104 "," 12,044 "," 11,189 ", - , - , - , - 
August," 22,402 "," 24,681 "," 19,706 "," 19,591 "," 17,457 "," 21,536 "," 19,894 ", - , - , - , - 
September," 8,901 "," 8,602 "," 9,426 "," 9,629 "," 7,690 "," 10,163 "," 10,654 ", - , - , - , - 
October," 6,825 "," 6,818 "," 8,059 "," 7,523 "," 9,053 "," 10,133 "," 10,053 ", - , - , - , - 
November, 94 , - , 517 , 205 , 98 , 589 , 200 , - , - , - , - 
December, - , 18 , 45 , 92 , - , 354 , 354 , - , - , - , - 
January, 189 , 18 , 119 , 124 , - , 216 , 226 , - , - , - , - 
February, 104 , 37 , 437 , 273 , 637 ," 1,724 ", - , - , - , - , - 
March," 4,179 ", 63 , 124 ," 2,809 ", 269 ," 1,170 ", - , - , - , - , - 
