Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 3,451 "," 3,794 "," 3,327 "," 3,654 "," 3,881 "," 2,870 "," 2,290 "," 4,047 "," 3,086 "," 3,600 "," 3,088 "
May," 3,472 "," 4,312 "," 3,397 "," 4,197 "," 5,198 "," 4,281 "," 3,571 "," 3,299 "," 3,647 "," 3,527 "," 4,076 "
June," 5,856 "," 4,451 "," 3,633 "," 3,744 "," 4,179 "," 3,909 "," 4,625 "," 4,012 "," 4,840 "," 4,273 "," 4,415 "
July," 4,165 "," 4,721 "," 4,435 "," 4,210 "," 4,195 "," 3,467 "," 3,745 "," 4,049 "," 3,932 "," 4,930 "," 4,628 "
August," 5,501 "," 5,661 "," 6,799 "," 4,983 "," 6,048 "," 4,441 "," 5,127 "," 4,989 "," 3,925 "," 4,071 "," 4,121 "
September," 4,405 "," 4,598 "," 3,497 "," 3,176 "," 4,109 "," 3,525 "," 4,491 "," 4,509 "," 3,288 "," 5,705 "," 4,027 "
October," 5,052 "," 4,640 "," 6,178 "," 4,455 "," 4,615 "," 3,666 "," 3,376 "," 4,695 "," 3,116 "," 4,128 "," 3,817 "
November," 3,930 "," 3,600 "," 3,546 "," 3,969 "," 4,609 "," 4,581 "," 14,734 "," 12,233 "," 12,007 "," 14,296 "," 14,498 "
December," 1,901 "," 1,139 "," 1,163 ", 927 ," 1,215 ", 909 , 561 , 663 , 405 , 665 , 633 
January," 2,102 "," 2,765 "," 1,945 "," 1,438 "," 2,647 ", 899 ," 1,367 ", 708 , 393 ," 1,199 ", 900 
February," 3,426 "," 3,597 "," 3,256 "," 2,618 "," 2,442 "," 2,044 "," 2,566 "," 2,304 "," 1,748 "," 2,185 "," 1,856 "
March," 5,234 "," 2,902 "," 3,962 "," 2,833 "," 3,300 "," 8,331 "," 2,669 "," 2,641 "," 2,071 "," 2,633 "," 2,468 "
