Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 2,918 "," 4,190 "," 2,801 "," 2,212 "," 3,329 "," 2,903 "," 2,779 "," 2,155 "," 2,248 "," 1,948 "," 2,350 "
May," 2,488 "," 3,496 "," 2,577 "," 3,116 "," 3,023 "," 3,365 "," 3,149 "," 2,857 "," 3,226 "," 2,297 "," 3,067 "
June," 3,379 "," 3,520 "," 2,805 "," 2,261 "," 2,788 "," 2,782 "," 2,311 "," 2,635 "," 1,821 "," 1,749 "," 1,916 "
July," 3,322 "," 3,051 "," 3,805 "," 2,534 "," 2,128 "," 3,720 "," 2,896 "," 2,709 "," 1,703 "," 1,677 "," 2,015 "
August," 4,095 "," 3,586 "," 5,411 "," 2,892 "," 3,129 "," 2,905 "," 3,623 "," 2,747 "," 1,651 "," 1,773 "," 2,354 "
September," 3,299 "," 6,719 "," 3,327 "," 2,716 "," 2,282 "," 2,986 "," 2,871 "," 2,693 "," 2,372 "," 1,694 "," 2,555 "
October," 2,849 "," 8,946 "," 4,449 "," 3,091 "," 2,759 "," 5,948 "," 3,268 "," 3,252 "," 2,692 "," 2,174 "," 2,352 "
November," 3,696 "," 3,873 "," 4,488 "," 3,422 "," 4,622 "," 5,356 "," 3,500 "," 3,932 "," 3,307 "," 2,406 "," 2,931 "
December," 4,321 "," 3,028 "," 2,649 "," 2,745 "," 3,219 "," 2,847 "," 1,907 "," 2,104 "," 1,469 "," 1,176 "," 1,517 "
January," 2,572 "," 2,322 "," 2,445 "," 1,774 "," 2,438 "," 4,128 "," 2,487 "," 1,841 "," 2,054 "," 1,391 "," 1,877 "
February," 3,634 "," 2,668 "," 2,333 "," 2,233 "," 3,415 "," 3,332 "," 3,521 "," 3,406 "," 2,323 "," 2,012 "," 2,001 "
March," 4,451 "," 2,676 "," 2,799 "," 2,910 "," 3,625 "," 3,028 "," 2,608 "," 3,597 "," 2,382 "," 2,297 "," 2,934 "
