Month ,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April, 334 , 173 , 191 ," 6,163 "," 3,763 "," 2,346 "," 2,976 "," 2,134 "," 3,742 "," 4,144 "," 6,528 "
May," 4,085 "," 3,475 "," 2,771 "," 5,679 "," 2,757 "," 1,801 "," 2,099 "," 3,052 "," 2,229 "," 2,886 "," 4,786 "
June," 3,790 "," 3,423 "," 1,803 "," 3,176 "," 2,416 "," 1,191 "," 1,482 "," 1,985 "," 4,224 "," 3,012 "," 3,279 "
July," 5,399 "," 6,399 "," 2,621 "," 6,986 "," 4,595 "," 3,936 "," 2,581 "," 2,905 "," 3,174 "," 3,566 "," 3,971 "
August," 7,519 "," 10,391 "," 8,260 "," 9,422 "," 9,368 "," 4,742 "," 4,852 "," 5,618 "," 6,115 "," 7,148 "," 6,697 "
September," 5,828 "," 3,029 "," 3,084 "," 1,804 "," 1,920 "," 1,610 "," 1,607 "," 2,007 "," 2,337 "," 2,369 "," 2,313 "
October," 1,912 "," 3,058 "," 3,601 "," 4,460 "," 2,805 "," 1,350 "," 3,120 "," 2,876 "," 3,243 "," 3,511 "," 3,808 "
November, 409 , 149 , 146 , 467 , 463 ," 1,208 ", 456 , 156 , 897 ," 1,464 "," 1,529 "
December, - , 110 ," 1,231 "," 1,705 "," 2,284 "," 2,378 "," 1,582 "," 2,284 "," 3,192 "," 5,100 "," 2,756 "
January, 228 , 132 , 126 , 118 , 26 , 135 , 138 , 297 , 179 , - , - 
February, 695 , 196 ," 1,786 "," 1,204 "," 1,017 "," 1,796 "," 1,202 "," 1,608 "," 1,182 "," 1,743 "," 6,085 "
March, 908 , 287 , 516 ," 1,434 ", 329 , 399 , 195 , 686 ," 2,650 ", 484 , - 
