Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April, 31 , - , - , - , - , - , - , - , - , - , - 
May, 168 , 51 , - , - , - , - , - , - , - , - , - 
June, 171 , 77 , - , - , - , - , - , - , - , 16 , - 
July, 193 , 94 , - , 149 , - , - , 171 , 307 , - , - , - 
August, 131 , 263 , 130 , - , 166 , 209 , - , - , 214 , 150 , - 
September, 863 , 676 , 292 , 556 , 574 , 869 , 903 ," 1,045 ", 405 , 195 , 662 
October, - , - , - , - , 249 , 87 , 62 , - , 10 , - , - 
November, - , - , - , - , - , - , - , - , - , - , - 
December, - , - , - , - , - , - , - , - , - , - , - 
January, - , - , - , - , - , - , - , - , - , - , - 
February, - , - , - , - , - , - , - , - , - , - , - 
March, - , - , - , - , - , - , 230 , - , - , - , - 
