Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April, - , - , - , 182 , 258 , 165 , 388 , 237 , 218 , 189 , 605 
May, - , - , - , 185 , 245 , 245 ," 2,140 ", 415 , 253 , 266 , 990 
June, - , - , - , 191 , 348 , 306 ," 2,009 ", 230 , 161 , 323 , 633 
July, - , - , - , 276 , 204 , 201 , 336 , 321 , 81 , 240 , 407 
August, - , - , - , 147 , 209 , 223 , 248 , 160 , 180 , 242 , 235 
September, - , - , - , 187 , 158 , 150 , 215 , 170 , 225 , 299 , 872 
October, - , - , - , 239 , 264 , 196 , 363 , 304 , 260 , 640 , 611 
November, - , - , - , 237 , 394 , 382 , 251 , 340 , 336 , 561 , 538 
December, - , - , - , 209 , 160 , 362 , 181 , 248 , 202 , 764 , 585 
January, - , - , - , 188 , 179 , 202 , 208 , 230 , 209 , 361 , 301 
February, - , - , - , 330 , 168 , 218 , 218 , 233 , 303 , 498 , 395 
March, - , - , - , 246 , 339 , 253 , 298 , 326 , 461 , 691 , 689 
