Victoria & Albert (South Kensington),2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 236,125 "," 201,189 "," 207,260 "," 209,603 "," 157,834 "," 188,295 "," 211,531 "," 239,385 "," 259,280 "," 297,746 "," 246,955 "
May," 149,149 "," 149,637 "," 182,410 "," 187,486 "," 143,795 "," 160,387 "," 271,026 "," 192,706 "," 217,056 "," 275,042 "," 236,287 "
June," 153,784 "," 141,670 "," 161,962 "," 179,462 "," 199,174 "," 187,220 "," 213,795 "," 212,523 "," 304,524 "," 353,396 "," 313,265 "
July," 202,924 "," 186,436 "," 251,643 "," 213,818 "," 170,787 "," 177,804 "," 204,737 "," 300,713 "," 240,557 "," 302,620 "," 271,362 "
August," 144,806 "," 133,854 "," 217,486 "," 161,431 "," 221,746 "," 228,876 "," 291,309 "," 234,313 "," 233,637 "," 316,552 "," 288,037 "
September," 127,515 "," 113,134 "," 172,916 "," 193,562 "," 140,847 "," 161,419 "," 213,128 "," 218,071 "," 323,516 "," 283,652 "," 339,590 "
October," 226,986 "," 197,143 "," 281,436 "," 211,647 "," 174,288 "," 178,062 "," 231,887 "," 334,234 "," 266,111 "," 223,053 "," 272,890 "
November," 163,851 "," 150,478 "," 216,274 "," 197,071 "," 210,280 "," 242,469 "," 202,407 "," 231,531 "," 327,143 "," 212,318 "," 251,291 "
December," 120,279 "," 160,852 "," 213,338 "," 212,797 "," 132,640 "," 168,317 "," 130,707 "," 176,952 "," 311,952 "," 211,757 "," 241,471 "
January," 183,633 "," 130,429 "," 167,763 "," 168,317 "," 170,525 "," 267,356 "," 249,053 "," 265,782 "," 288,922 "," 254,382 "," 234,225 "
February," 148,514 "," 171,910 "," 259,567 "," 182,815 "," 174,261 "," 216,374 "," 220,071 "," 238,749 "," 223,417 "," 229,748 "," 240,056 "
March," 153,679 "," 165,855 "," 238,987 "," 162,750 "," 224,925 "," 174,808 "," 179,854 "," 243,345 "," 301,992 "," 235,172 "," 328,178 "
