Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
April," 22,047 "," 19,735 "," 14,514 "," 1,406 ", - , - , - , - , - , - , - 
May," 15,729 "," 11,798 "," 13,311 "," 1,447 ", - , - , - , - , - , - , - 
June," 16,672 "," 15,181 "," 13,353 "," 1,540 ", - , - , - , - , - , - , - 
July," 22,995 "," 15,101 "," 20,650 "," 1,954 ", - , - , - , - , - , - , - 
August," 25,267 "," 12,640 "," 18,113 ", 505 , - , - , - , - , - , - , - 
September," 17,365 "," 11,044 "," 14,447 ", - , - , - , - , - , - , - , - 
October," 20,614 "," 17,166 "," 20,070 ", - , - , - , - , - , - , - , - 
November," 14,665 "," 11,695 "," 11,450 ", - , - , - , - , - , - , - , - 
December," 12,832 "," 10,354 "," 10,825 ", - , - , - , - , - , - , - , - 
January," 19,285 "," 10,788 "," 3,517 ", - , - , - , - , - , - , - , - 
February," 21,228 "," 14,468 "," 1,388 ", - , - , - , - , - , - , - , - 
March," 16,348 "," 16,024 "," 2,819 ", - , - , - , - , - , - , - , - 
